leadid,revenue
2799587727,151
2799588622,NULL
2799593018,15
2799598253,45.54
2799600047,NULL
2799602425,NULL
2799603500,NULL
2799609027,44.69
2799609224,1.15
2799609635,28.91
2799610038,NULL
2799611726,50
2799621970,NULL
2799622864,0
2799624553,NULL
2799624912,0
2799624972,NULL
2799626106,NULL
2799630307,1
2799633945,NULL
2799636402,40
2799638855,0
2799638855,3
2799651345,41
2799652548,31
2799656573,21
2799656623,NULL
2799656703,NULL
2799670771,5.5
2799685522,NULL
2799686186,27
